ID,sex,Aged,Married,TotalDependents,ServiceSpan,MobileService,4GService,CyberProtection,HardwareSupport,TechnicalAssistance,FilmSubscription,SettlementProcess,QuarterlyPayment,GrandPayment,CustomerAttrition
B60LHTZLLPFU4IULNPUF,0,0,0,1,48,1,2,0,1,1,0,Check,96.25980197,4628.129119,1
1RUJ7ONYZHYTWKOKO1SD,1,0,1,0,45,1,2,0,0,0,1,Bank,18.87647016,922.0859985,0
DZ9EEOQWSN0MYCBUPAM5,1,1,1,0,59,1,2,1,0,1,0,Card,106.0160571,6205.891129,1
YZ43L1UQUQACTL1PXXZG,1,0,0,0,14,1,2,0,0,0,0,Check,80.10883859,1248.655391,0
6P28152QGF60PDLSCB9M,0,0,1,1,25,1,2,0,1,0,1,Check,51.52977334,1285.321277,0
60DE6HXH6KQRETDXAHLK,1,0,1,1,27,1,1,1,0,0,1,Card,96.38427494,2650.779905,1
7GOZ81H8YZXQ3YPMZEB0,1,1,1,0,53,1,2,0,0,0,0,Check,17.29132478,1032.254126,0
LTKNFUXFICQI8MSX5RWI,0,1,0,1,0,1,2,0,0,0,0,Electronic,70.06280815,70.93434511,1
RWYOSHJ90GB50Q93G877,1,0,0,0,1,1,2,0,0,0,0,Electronic,70.1136612,134.8804291,0
4MH18O0I7LEW5BRRITY3,0,0,0,0,46,1,2,1,1,1,0,Card,112.7407804,5032.993657,0
XSOJ66P9GCQB2SEUCRT1,0,0,1,0,67,1,1,0,1,1,1,Bank,89.50632526,6131.923004,0
TQJIZOEF3M1X2R1NEZ4L,1,0,1,1,24,1,1,0,0,0,0,Bank,25.61021984,587.2039393,0
D9TBRQBIYP5KC5QH8YRO,1,0,1,0,61,0,2,0,1,1,0,Card,59.47529161,3604.443655,0
QQN1FG8BU3XGBWXFAYZ4,1,0,0,0,54,1,2,0,1,1,0,Card,55.10455671,3046.121901,0
C0PPN4XU3EAOA0WW3HSF,1,0,0,0,59,1,0,1,1,0,1,Bank,40.89261451,2422.758991,0
RPRQJQL4AC84390GLPH7,0,0,1,0,9,1,1,0,0,1,0,Electronic,90.49360379,743.5017708,0
35562DCPBLQ44R1DMR8O,0,0,0,0,30,1,2,0,0,0,0,Bank,18.7031324,623.9999122,0
S97UBE9BI0RA9YY0A5JL,1,1,1,0,18,1,1,0,1,0,0,Electronic,48.00700727,810.8152022,1
YK6EHH80HUYW2YPWWTLZ,0,1,1,0,5,1,2,1,0,1,0,Electronic,64.16894412,475.6430072,0
UUJWFKWLE0WULNX6X9NC,1,0,1,0,64,1,2,1,1,0,1,Electronic,104.9577317,6915.819249,0
1ZOF0YZQ1Z81FJBP2S83,1,0,0,0,3,1,0,0,0,0,1,Check,23.74892018,84.10186157,0
QGLRXZN07NM3R0I9SBOG,1,0,0,0,53,1,2,0,1,1,1,Bank,81.89741273,4233.228884,0
Q77730G8N3F76CEPYQG7,1,0,0,0,41,0,1,0,0,0,0,Check,19.99316728,807.3795985,0
5GUFZDM8UJR14PKCPS8R,1,0,0,1,40,1,0,1,0,0,0,Check,53.85687128,2140.315567,1
AM0C4NBZ0FI6BDR3RR7Y,1,1,1,0,31,1,2,1,0,0,0,Electronic,91.04631978,2808.95571,0
GDRS5MS805TCBF64ZPER,1,0,1,1,21,1,2,0,0,1,1,Check,59.54205938,1414.631237,0
KR80BM41H9NY62Q9GQRH,0,0,1,1,0,1,1,0,0,0,1,Bank,17.97023756,20.98403965,0
2Z7JDNBH470S2EE4QEFS,0,0,0,0,54,1,1,1,1,0,0,Bank,102.8010283,5639.467056,1
8DANTI0PJ0HX3GOBTEWS,0,1,1,0,15,1,1,0,1,0,0,Electronic,96.99222892,1587.535725,1
WIIOYRGD2184CU4ONSX3,1,1,0,0,6,1,1,0,1,0,0,Electronic,105.8351139,829.346907,1
FQEFLSHEXNUAEF7PRJMT,0,0,1,1,69,1,0,0,0,0,0,Check,25.19430191,1762.840935,0
5ZJWZ4WSGG8KDBYFEA1L,1,1,1,0,30,1,0,1,1,0,0,Card,50.77818405,1581.108339,0
BH84LBPSC1FPX63EU8H4,1,0,1,1,72,1,1,0,0,0,0,Bank,25.33678258,1786.466841,0
IX5KKRQ55SUBIZD0N3ZI,1,0,0,0,33,1,0,0,0,0,1,Check,18.45744424,690.7522972,0
CYLPXD667RX9SCE2FRX4,1,0,1,0,72,1,1,1,1,1,1,Card,78.75223692,5813.240469,0
4LYLGB1JK9MPCORJYWW7,1,1,0,0,69,1,0,0,0,0,1,Electronic,44.18397953,3264.617593,1
Z8UELQEH3D4ZBX2H54PX,1,1,0,0,54,1,1,0,1,0,0,Electronic,99.50690169,5411.262479,0
